skill,category,aliases
"Python","Programming","python|python3|py"
"Java","Programming","java|core java|java se"
"C","Programming","c|c language|ansi c"
"C++","Programming","c++|cpp|c plus plus"
"C#","Programming","c#|c sharp|csharp"
"JavaScript","Programming","javascript|js|es6|ecmascript"
"TypeScript","Programming","typescript|ts"
"Go","Programming","go|golang"
"Rust","Programming","rust"
"R","Programming","r|r language"
".NET","Programming",".net|dotnet|asp.net|net core"
"HTML","Web","html|html5"
"CSS","Web","css|css3"
"React","Web","react|react.js|reactjs"
"Angular","Web","angular|angularjs"
"Vue","Web","vue|vue.js|vuejs"
"Node.js","Web","node.js|nodejs|node"
"Express","Web","express|express.js|expressjs"
"Next.js","Web","next.js|nextjs"
"Tailwind CSS","Web","tailwind css|tailwind|tailwindcss"
"REST API","Web","rest api|rest|restful|apis|api development"
"GraphQL","Web","graphql"
"MySQL","Databases","mysql"
"PostgreSQL","Databases","postgresql|postgres"
"SQLite","Databases","sqlite"
"MongoDB","Databases","mongodb|mongo"
"SQL","Databases","sql|ansi sql|t-sql|pl/sql"
"Redis","Databases","redis"
"Machine Learning","Machine Learning","machine learning|ml|supervised learning|unsupervised learning"
"NumPy","Machine Learning","numpy|numpy"
"Pandas","Machine Learning","pandas"
"Scikit-learn","Machine Learning","scikit-learn|sklearn|scikit learn"
"TensorFlow","Machine Learning","tensorflow|tf|keras"
"PyTorch","Machine Learning","pytorch|torch"
"Deep Learning","Machine Learning","deep learning|neural networks|dl"
"MLOps","Machine Learning","mlops|mlflow|model deployment"
"Statistics","Machine Learning","statistics|statistical analysis|probability"
"LLM","Artificial Intelligence","llm|large language model|llms|gpt"
"RAG","Artificial Intelligence","rag|retrieval augmented generation|vector database|embeddings"
"Prompt Engineering","Artificial Intelligence","prompt engineering|prompting|prompt design"
"OpenAI API","Artificial Intelligence","openai api|openai|chatgpt api"
"Gemini API","Artificial Intelligence","gemini api|gemini|google ai studio"
"LangChain","Artificial Intelligence","langchain|langgraph|llamaindex"
"NLP","NLP","nlp|natural language processing|text mining"
"spaCy","NLP","spacy|spacy"
"Transformers","NLP","transformers|transformer|bert|sentence transformers"
"HuggingFace","NLP","huggingface|hugging face|huggingface hub"
"NLTK","NLP","nltk"
"TF-IDF","NLP","tf-idf|tfidf|tf idf|cosine similarity"
"OpenCV","Computer Vision","opencv|cv2|open cv"
"YOLO","Computer Vision","yolo|yolov5|yolov8|object detection"
"CNN","Computer Vision","cnn|convolutional neural network|resnet|image classification"
"AWS","Cloud","aws|amazon web services|ec2|s3|sagemaker|lambda"
"Azure","Cloud","azure|microsoft azure|azure ml"
"GCP","Cloud","gcp|google cloud|google cloud platform|vertex ai"
"Render","Cloud","render|railway|vercel"
"Docker","DevOps","docker|containerization|dockerfile"
"Kubernetes","DevOps","kubernetes|k8s"
"GitHub Actions","DevOps","github actions|ci/cd|cicd|continuous integration|jenkins"
"Linux","DevOps","linux|ubuntu|bash|shell scripting"
"Git","Tools","git|version control"
"GitHub","Tools","github|gitlab|bitbucket"
"VS Code","Tools","vs code|visual studio code|vscode"
"Jupyter","Tools","jupyter|jupyter notebook|colab|google colab"
"FastAPI","Tools","fastapi|fast api"
"Flask","Tools","flask"
"Django","Tools","django"
"Streamlit","Tools","streamlit|gradio"
"Postman","Tools","postman"
"Excel","Data & BI","excel|ms excel|advanced excel|pivot tables"
"Power BI","Data & BI","power bi|powerbi"
"Tableau","Data & BI","tableau"
"Data Visualization","Data & BI","data visualization|plotly|matplotlib|seaborn|dashboards"
"ETL","Data & BI","etl|data pipeline|airflow|data cleaning"
"Problem Solving","Soft Skills","problem solving|problem-solving|analytical thinking"
"Communication","Soft Skills","communication|presentation skills|stakeholder communication"
"Teamwork","Soft Skills","teamwork|collaboration|team player"
"Agile","Soft Skills","agile|scrum|kanban|jira"
