role,category,required_skills,optional_skills,description,career_path,salary_range,keywords
"Data Analyst","Data","Python|SQL|Excel|Power BI|Pandas","Statistics|Data Visualization|Tableau|ETL|NumPy","Turns raw business data into dashboards, reports and insights that guide product and operations decisions.","Data Analyst → Senior Data Analyst → Analytics Lead → Head of Analytics","₹4L – ₹12L / $55k – $95k","dashboard|reporting|kpi|business insights|data cleaning|sql queries"
"Machine Learning Engineer","AI/ML","Python|Machine Learning|Scikit-learn|FastAPI|Docker","Pandas|NumPy|MLOps|AWS|TensorFlow|PyTorch","Designs, trains and ships machine learning models as reliable production services and pipelines.","ML Engineer → Senior ML Engineer → ML Platform Lead → Head of AI","₹8L – ₹28L / $95k – $170k","model training|feature engineering|model deployment|pipeline|evaluation metrics"
"AI Engineer","AI/ML","Python|Deep Learning|LLM|RAG|REST API","LangChain|Prompt Engineering|OpenAI API|Gemini API|Docker|FastAPI","Builds LLM-powered applications: retrieval pipelines, agents, evaluation harnesses and AI product features.","AI Engineer → Senior AI Engineer → AI Architect → Head of AI Products","₹9L – ₹32L / $105k – $185k","generative ai|vector search|embeddings|agents|prompt|chatbot"
"NLP Engineer","AI/ML","Python|NLP|Transformers|HuggingFace|Machine Learning","spaCy|TF-IDF|NLTK|PyTorch|Deep Learning","Works on text understanding: classification, entity extraction, semantic search and language model fine-tuning.","NLP Engineer → Senior NLP Engineer → Research Engineer → NLP Lead","₹8L – ₹26L / $95k – $165k","tokenization|named entity recognition|text classification|embeddings|language model"
"Computer Vision Engineer","AI/ML","Python|OpenCV|CNN|YOLO|Deep Learning","PyTorch|TensorFlow|Docker|Machine Learning","Builds image and video intelligence: detection, segmentation, tracking and on-device inference.","CV Engineer → Senior CV Engineer → Perception Lead → Director of Vision AI","₹7L – ₹25L / $90k – $160k","image processing|object detection|segmentation|annotation|inference"
"Python Developer","Engineering","Python|REST API|SQL|Git|FastAPI","Flask|Django|Docker|PostgreSQL|Linux","Builds Python services, automation and integrations with clean, tested, maintainable code.","Python Developer → Senior Developer → Tech Lead → Engineering Manager","₹4L – ₹18L / $70k – $130k","scripting|automation|unit tests|microservice|backend logic"
"Backend Developer","Engineering","REST API|SQL|Docker|Git|PostgreSQL","Node.js|Python|Java|Redis|Kubernetes|Linux","Owns server-side architecture, APIs, databases, authentication and system performance.","Backend Developer → Senior Backend Engineer → Staff Engineer → Architect","₹5L – ₹22L / $80k – $150k","api design|database schema|caching|authentication|scalability"
"Frontend Developer","Engineering","HTML|CSS|JavaScript|React|Git","TypeScript|Tailwind CSS|Next.js|Vue|Angular","Builds accessible, responsive and fast user interfaces with modern component frameworks.","Frontend Developer → Senior Frontend Engineer → UI Architect → Head of Frontend","₹4L – ₹18L / $70k – $135k","responsive design|component|state management|accessibility|ui"
"Full Stack Developer","Engineering","React|Node.js|SQL|REST API|Git","TypeScript|MongoDB|Docker|Next.js|Tailwind CSS|Python","Delivers features end to end across UI, API and database with product ownership.","Full Stack Developer → Senior Full Stack Engineer → Tech Lead → CTO track","₹5L – ₹24L / $80k – $155k","end to end|crud|deployment|product feature|integration"
"Software Engineer","Engineering","Git|SQL|Problem Solving|REST API","Java|Python|C++|Docker|Linux|Agile","General-purpose engineering role covering design, implementation, testing and code review.","Software Engineer → SDE II → Senior SDE → Staff Engineer","₹5L – ₹25L / $85k – $160k","data structures|algorithms|system design|code review|testing"
"Data Scientist","Data","Python|Statistics|Machine Learning|Pandas|SQL","Scikit-learn|Data Visualization|Jupyter|NumPy|Deep Learning","Frames business problems as statistical experiments and models, and communicates findings.","Data Scientist → Senior Data Scientist → Principal DS → Head of Data Science","₹7L – ₹26L / $95k – $165k","hypothesis testing|experimentation|regression|clustering|insights"
"DevOps Engineer","Infrastructure","Docker|Kubernetes|Linux|GitHub Actions|AWS","Azure|GCP|Python|Git|Redis","Automates build, release and infrastructure, and keeps production observable and reliable.","DevOps Engineer → Senior DevOps → SRE Lead → Platform Architect","₹6L – ₹24L / $95k – $160k","infrastructure as code|monitoring|pipeline|deployment|reliability"
"Business Intelligence Developer","Data","SQL|Power BI|Excel|ETL|Data Visualization","Tableau|Python|PostgreSQL|Statistics","Models warehouse data and builds governed, self-service reporting for business teams.","BI Developer → Senior BI Developer → Analytics Engineer → BI Manager","₹4L – ₹16L / $70k – $120k","data warehouse|star schema|dax|reporting layer|semantic model"
